,distance,times,f_bl,lat,lon,mag,summ
1046,28.347190944735,0.0000175,0.250470983661135,52.394,160.294,5.9,1.45251002963585
2049,28.415788600756,0.00186144005907208,0.377623173950424,55.201,163.146,5.2,1.45420495253548
1878,28.4720058222457,0.000416638862177812,0.451724038400004,53.492,161.717,4.77,1.45442529904594
1775,20.7890640706098,0.0112654995544587,0.825651914641852,52.465,159.516,4.94,1.46086424894118
556,29.3062023867492,0.000937956212680947,0.371335812566682,55.3997,164.2619,5.195,1.46704209531026
1662,29.3120055052641,0.0000905,0.437714585339662,53.547,161.743,4.855,1.46704560775846
1300,16.024900741655,0.0137886203862582,0.935460799001756,55.14,160.322,5.025,1.4670578070867
1823,29.4915232898067,0.000156064928481254,0.282744998961478,52.326,160.306,5.705,1.46969758548403
1111,29.6471485086744,0.000435705740612902,0.338879208437266,52.786,159.003,5.365,1.4719912035712
357,30.1546801821233,0.0000627,0.406512376919366,52.3217,160.0393,5.025,1.47935475143206
1171,30.1935164178474,0.000383559547658138,0.34176624063663,51.81,159.519,5.365,1.47991934017366
152,30.2057221092423,0.00226771222112639,0.397138240246928,51.6189,159.6598,5.195,1.4812558643197
13,27.7845415148468,0.00728227299148476,0.631774633088707,53.2388,159.5766,4.94,1.48243766824568
55,30.466469796888,0.000948086982225794,0.431580842855783,52.6288,160.6342,4.94,1.48390738935811
2289,30.5000494316443,0.000579913165836225,0.410513170931651,53.863,161.527,5.025,1.48432005345046
1818,30.5085924788087,0.000606109067047245,0.360046236692374,52.221,160.593,5.28,1.48444444725144
2014,29.3128662276683,0.00569953029243336,0.607964095170384,50.571,157.25,4.77,1.48558041408688
1602,30.5105952371732,0.00250825671265853,0.439588006405787,56.303,164.148,5.025,1.4860293441966
1131,30.6394760049867,0.000853537122627047,0.347024222987464,50.005,157.408,5.365,1.48634354097742
2297,30.6741221298345,0.000774479431094706,0.431499062858981,54.692,162.354,4.94,1.4868186156798
212,31.1051197776137,0.000427555876207541,0.362632356615968,51.1594,160.9103,5.28,1.4928396970554
559,31.162072679863,0.00115240340643906,0.458072671560333,54.6388,164.2604,4.855,1.49377944041017
1148,31.1888312570937,0.00298117922550418,0.313217602142153,50.892,157.218,5.8,1.49664966253398
2263,29.5471981870669,0.00652025819288488,0.503015747043171,53.862,161.978,5.365,1.49824746692215
552,27.1305790675373,0.00868674752031184,0.702646828425121,55.3853,164.4538,4.94,1.49903511735547
269,31.5669170942346,0.000064,0.379873250762854,52.4951,160.5061,5.2,1.4992321958985
183,31.6261334777554,0.0000119,0.349059030326546,55.5485,162.6418,5.365,1.50004609970679
943,25.7345188639854,0.00967405348338682,0.803636503157061,52.6753,160.6626,4.77,1.50108913278424
2478,32.0300769706085,0.000110783320888224,0.457576037370958,53.305,163.961,4.855,1.50555811832449
399,32.2067317464231,0.0000382,0.439016193426449,52.1548,160.0714,4.94,1.50794666157287
1431,32.2182519378878,0.00012844053884221,0.352387469894557,51.624,159.283,5.365,1.50810218522776
2480,32.2459932004923,0.0000402,0.439284502837116,54.655,161.716,4.94,1.5084757645921
1316,32.3426482393096,0.00000759,0.346647538796387,52.495,159.888,5.4,1.50977557741466
420,32.4870287181863,0.000650410652360005,0.423990679472396,55.7875,162.1698,5.025,1.51173751793405
993,32.5030530653747,0.000148301709503031,0.460990266859735,52.232,160.79,4.855,1.5119244831881
1541,32.5250297815348,0.000381404043172656,0.406781054808306,52.49,160.359,5.1,1.51222325336289
996,32.5402468294261,0.0000937,0.441319769379109,52.167,160.521,4.94,1.51242092511159
